UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Rafiullah,@Rafiullahkhann,2023-01-15T19:01:55.000Z,"Rafiullah
@Rafiullahkhann
·
Jan 16","Copied from 
@DurraniViews
 
But very fixed 
#Bajwa
1
64",💯,1,,,['https://pbs.twimg.com/media/FmiQjh2XoAEXBbV?format=jpg&name=small'],https://twitter.com/Rafiullahkhann/status/1614699416417439745
"Dr FAB, MD",@DrFariyaBukhari,2023-01-15T08:14:07.000Z,"Dr FAB, MD
@DrFariyaBukhari
·
Jan 15","Gen Qamar Javed #Bajwa didn’t get any material or spiritual blessings from getting #NawazSharif & later #ImranKhan ousted. It was done to protect #Pakistan. But today both are lobbying a vicious propaganda against the great General who gave our enemies nightmares during his time.
161",,,,,[],https://twitter.com/DrFariyaBukhari/status/1614536394306736134
"Dr FAB, MD",@DrFariyaBukhari,2023-01-15T08:16:16.000Z,"Dr FAB, MD
@DrFariyaBukhari
·
Jan 15","Pro #NawazSharif journalists are trying to dishonor Gen Qamar Javed #Bajwa as much for removing him as pro #ImranKhan journalists. But the good general did what he had to do & he has no regrets over his decisions. #Pakistan was kept safe & secure during his tenure from enemies.
160",,,,,[],https://twitter.com/DrFariyaBukhari/status/1614536935925497856
Low_key_WarCrime_reporter,@ToqetoM,2023-01-15T05:05:58.000Z,"Low_key_WarCrime_reporter
@ToqetoM
·
Jan 15","#Bajwa reports are coming in that another women had come forward and reporter Sexual Allegation against #bajwa #pakarmy has suddenly disappeared from #Rawalpindi last Night. Yet another crime by #pakarmy #pakistanarmy and the #warcriminal bajwa. Name of that women is Samiya Haq.
210",,,,,[],https://twitter.com/ToqetoM/status/1614489042757861381
Saima Khan,@cymakhan0,2023-01-16T07:43:15.000Z,"Saima Khan
@cymakhan0
·
Jan 16","You omitted #MaryamNawaz & #NawazSharif from this collage,  Maryam-Faisal Naseer collusion and head money movement from London!  #ArshadSharifShaheed #Bajwa
Haider Mehdi
@SHaiderRMehdi
·
Jan 15
Arshad Sharif Shaheed's murder. Linking events, connecting dots. Leave it to you to decide who masterminds & planners were. Pakistan's future direction will be determined by our success or failure to prosecute and punish them. Watch the full program here. https://youtu.be/3wimroS88O0
1
1
108",,,1,1,"['https://pbs.twimg.com/profile_images/1606531641064710144/8Ygl4LUi_mini.jpg', 'https://pbs.twimg.com/media/Fmef7mfWQAEUUkq?format=jpg&name=small']",https://twitter.com/cymakhan0/status/1614891014585724928
Peer Khan,@PeeraK,2023-01-16T17:59:09.000Z,"Peer Khan
@PeeraK
·
Jan 16","Pakistan's economy grinding to a halt as dollars dry up https://news.yahoo.com/pakistans-economy-grinding-halt-dollars-030129629.html… #Bajwa 
@CMShehbaz
 where have you taken to Pakistan in 8 years from progress to grinding halt of economy 
@PTIofficial
 do what it take 
@OfficialDGISPR
 any comments
news.yahoo.com
Pakistan's economy grinding to a halt as dollars dry up
Thousands of containers packed with essential food items, raw materials and medical equipment have been held up at Pakistan's Karachi port as the country grapples with a desperate foreign exchange...
21",,,,,['https://pbs.twimg.com/card_img/1614467553060966404/iRE-LbvI?format=jpg&name=small'],https://twitter.com/PeeraK/status/1615046007775199232
aisha khan,@aishakhanniiiii,2023-01-17T11:35:44.000Z,"aisha khan
@aishakhanniiiii
·
Jan 17","#TariqJameel #Bajwa #Pakistan
Billions of dollars recovered from bank accounts of so called islamic leader Tariq Jameel

While former  Pak army chief Qamar Javed Bajwa spotted in Dubai shopping 

From islamic leaders to Pak army general ,they all looted pakistan and made fortune
0:19
2,775 views
9
3
12
6,131",,9,3,12,['https://pbs.twimg.com/media/Fmq9lGWaMAApaC_?format=jpg&name=360x360'],https://twitter.com/aishakhanniiiii/status/1615311906478362627
Frankly Speaking,@occupiedbypak,2023-01-17T07:10:52.000Z,"Frankly Speaking
@occupiedbypak
·
Jan 17","So finally understood reality ?.

The reason I said #Pakistan Foreign Policy will change every day.

From furious attacks and nuclear state threat to live with eachother.

Nothing wrong. 

#Bajwa had laid a ceasefire, may be best since partition. Hope we carry on same.
Dawn.com
@dawn_com
·
Jan 17
Mr Shehbaz reminded the world that India and Pakistan were neighbours and they had to live with each other.

https://dawn.com/news/1732045/pm-asks-uae-to-facilitate-talks-on-india-held-kashmir…
3
4
9
1,122",,3,4,9,['https://pbs.twimg.com/profile_images/596764851080286208/5dTXIuxr_mini.jpg'],https://twitter.com/occupiedbypak/status/1615245251895234560
aisha khan,@aishakhanniiiii,2023-01-17T11:35:44.000Z,"aisha khan
@aishakhanniiiii
·
Jan 17","#TariqJameel #Bajwa #Pakistan
Billions of dollars recovered from bank accounts of so called islamic leader Tariq Jameel

While former  Pak army chief Qamar Javed Bajwa spotted in Dubai shopping 

From islamic leaders to Pak army general ,they all looted pakistan and made fortune
0:16
2,775 views
9
3
12
6,131",,9,3,12,['https://pbs.twimg.com/media/Fmq9lGWaMAApaC_?format=jpg&name=360x360'],https://twitter.com/aishakhanniiiii/status/1615311906478362627
Rizwan Warraich,@RizWarraich,2023-01-18T18:42:17.000Z,"Rizwan Warraich
@RizWarraich
·
Jan 18","General #Bajwa & #ImranKhan brought Baqir Raza from #Egypt to repeat the Egyptian demolition job in #Pakistan. 
The laws were changed, state bank was handed over to IMF totally .... And now we financial chaos in Pakistan while the politicians continue to blame the army.
1
1
276",,,1,1,"['https://pbs.twimg.com/media/Fmxo1U-XEAE9o8Z?format=jpg&name=small', 'https://pbs.twimg.com/media/Fmxo1wQWQAYeVty?format=jpg&name=small']",https://twitter.com/RizWarraich/status/1615781641724510244
Pak Politics,@pklections,2023-01-18T07:16:07.000Z,"Pak Politics
@pklections
·
Jan 18","Not to mention they still don’t know how to play the social media game, this came from a guy sitting in #MNS office in London and he tweeted it out without a hashtag #PMLN #Bajwa
Pak Politics
@pklections
·
Jan 18
Here goes, reports just came out a few hours back that #PMLN is launching an assault on the real culprits by naming and shaming them, challenge is they still need to get #IMF to come through and raise every day prices that will have voter backlash. Postpone the elections first twitter.com/nasirbuttuk/st…
2
180",,,,2,['https://pbs.twimg.com/profile_images/3438910379/8ae6ba597471a1477b4ce3eaf715f6d8_mini.jpeg'],https://twitter.com/pklections/status/1615608960446341125
Abid Ali (Official),@AliAbbotabad,2023-01-19T16:08:16.000Z,"Abid Ali (Official)
@AliAbbotabad
·
Jan 19","We need to learn civilian supremacy from this video rather getting personal  #bajwa
From 
Jack~The~Ripper
1
109",🙏,,,1,[],https://twitter.com/AliAbbotabad/status/1616105270291079170
Ahmed,@FlukeStrategy,2023-01-19T15:23:04.000Z,"Ahmed
@FlukeStrategy
·
Jan 19","Gill clan is going to take revenge from #Bajwa clan for extra judicial torture
76",,,,,['https://pbs.twimg.com/media/Fm2E09kacAARwPT?format=jpg&name=small'],https://twitter.com/FlukeStrategy/status/1616093892687839235
Virginio,@aimi_rock,2023-01-19T09:34:56.000Z,"Virginio
@aimi_rock
·
Jan 19","The only #Bajwa who gets love and appreciation from both countries 
Sonam Bajwa
@bajwasonam
·
Jan 19
Ye sara ka sara jhoot hai  twitter.com/xavierunclelit…
1
261",😂 😂 😂,,,1,['https://pbs.twimg.com/profile_images/1115985865745076224/ssivcuz0_mini.jpg'],https://twitter.com/aimi_rock/status/1616006285182255109
Abid Ali (Official),@AliAbbotabad,2023-01-19T16:08:16.000Z,"Abid Ali (Official)
@AliAbbotabad
·
Jan 19","We need to learn civilian supremacy from this video rather getting personal  #bajwa
91.2K views
0:03 / 1:38
From 
Jack~The~Ripper
1
109",🙏,,,1,[],https://twitter.com/AliAbbotabad/status/1616105270291079170
Afrah Shah,@afrahshah1,2023-01-20T10:13:17.000Z,"Afrah Shah
@afrahshah1
·
Jan 20","In a startling revelation, the real mastermind who is running ruling Pak Govt from #London, #NawazSharif has blamed ex-COAS of #PakArmy, Gen #Bajwa, and former chief of #ISI #FaizHamid for ills of Pakistan.
@amritabhinder
 @kakar_harsha
 @kayjay34350
dawn.com
Nawaz takes stock as PML-N leaders gather in London
Top-level party huddle discusses campaign prospects, Maryam’s impending return to Pakistan.
1
39",,1,,,['https://pbs.twimg.com/card_img/1616292335406485505/NklQRaFy?format=jpg&name=small'],https://twitter.com/afrahshah1/status/1616378322661048321
