sentence,review
میں نے ایٹم بم بنایا ھے ۔۔۔۔او بھائی ایٹم بمب کوٹ لکھپت والی اتفاق فیکٹری میں نہیں بنتا۔ایٹم بم کہوٹہ کی ایٹمی۔۔۔ ,positive
چندے سے انقلاب اور عمران خان وزیر اعظم نہیں بن سکتے ,positive
 ٹویٹر کا خیال کیسے آیا ؟,negative
 ابھی تک اسکی لہریں کبھی کبھی آ جاتی ہیں یار :أْ,positive
 گندی زبان اور گٹر جیسے دماغ والے جاهل جیالے هو تم۔ جیالا هو اور جاهل نه هو یه ممکن نهیں ۔,negative
"قاتل بھی تم مقتول بھی تم,ظالم بھی ہم اور مظلوم بھی تم؟ ",negative
ﻧﻮﺭ ﺑﻐﺪﺍﺩ ﮐﯽ ﮔﻠﯿﻮﮞ ﮐﺎ ﮨﮯ ﮨﺮ ﺍﯾﮏ ﮐﺮﻥ ﺍﺱ ﮐﯽ ﻣﺪﯾﻨﮧ ﺳﮯ ﭼﻠﯽ ﮨﮯ,positive
 یہ لفظوں كى شرارت ھے سنبهل کر کچھ بهى لِكهنا تم محبت لفظ ھے ليكن یہ اكثر هو بهى جاتى ھے ۔۔۔۔!!!,positive
سمارٹ فون کے عادیوں کے لیے ڈجٹل ڈیٹاکس کیپ متعارف۔ ,positive
وزیر اعظم کی زیر صدارت پارلیمانی رہنماؤں کا اجلاس ,positive
سوچا تھا شہباز شریف وہاں سے کام آگے لے کر جائیں گے جہاں ہم نے چھوڑا چودھری پرویز الہٰی چودھری نے پنجاب تباہ کیا شہباز نے ترقیاتی کام کیے پنجاب کو سنوار دیا,positive
تیز بارش ہو ، گھنا پیڑ ہو ، اِک لڑکی ہوایسے منظر کبھی شہروں میں تو پائے نہ گئے ,positive
لاہور: دھرنوں کے باعث سیاسی عدم استحکام تھا۔ اب معاملہ سنبھل گیا ہے ۔ میاں مجتبی ,positive
مؤرخ لکھے گاکہ مملکتِ خداد پر ایسا کڑا وقت بھی آیا کہ ایک ڈی جے کو پالنے کیلیے کسی لیڈر کو چندہ مانگناپڑ گیا۔چندے سے انقلاب,negative
اک کھیل نے ہمارا مقدر بدل دیا وہ تو ہمیں پکار کر ایسا چھپا کہ زوبی ,neutral
ابن ڈیزل ہواُکرے کوئی میرے درد کی دوا کرے کوئی ,negative
پی ٹی آئی کا استعفے واپس نہ لینے کا اعلان ,positive
: ایک پنجرے میں چھ طوطے ایک طوطی کو چھیڑ رھے تھے ۔ جبکہ دوسرے پنجرے ,negative
باجوڑ ایجنسی میں پولیو ٹیم پر حملہ، دو لیوی اہلکار زخمی ,negative
سہیل بخاری کا کہنا تھا کہ تعزیتی ریفرنس میں یاسین ملک کے قریبی دوستوں کی شرکت نہ کرنے پر انہیں بہت افسوس ہے ,negative
®[انقلاب/دھرنا/ڈیل]ماڈل ٹاﺅن میں جاں بحق ہونے والوں کوخون بہادینے کے علاوہ قادری کوعلیحدہ سے ستر کروڑدینے کابھی یقین دلایاگیا-رپورٹ,negative
ایک شرابی کے ہاں ہر وقت شراب کا دَور رہتا تھا۔ایک مرتبہ اس کے دوست احباب جمع تھے شراب تیار تھی اس نے اپنے غلام۔۔۔ ,negative
اگر خیبر پختونخوا میں کوئی کام ھوا ھوتا تو پھر عمران کے دھرنوں کا جواز بن سکتا تھا ,positive
انشا ءاللہ بابے دا ڈیرہ سے تا ریخی قافلہ گجرات جلسہ میں شر کت کر ے گا -ملک چاند محبوب ,positive
" ا عمران خان کو ان دنوں شیدے کو دور بھگا دینا چاہیے جب ,اسکے بیٹے پاکستان میں ہوں ، یہ چھڑے چھانٹ اخلاقی گراوٹ کا شکار ہوتے ہیں ۔",negative
فتح حق اورسچ کی ہوئی،الطاف حسین کورابطہ کمیٹی کی مبارکباد ۔,positive
ﺍﻧﻘﻼﺏ ﮐﺎ ﺍﯾﺠﻨﮉﺍ ﻧﮧ ﺑﺪﻻ ﮨﮯ ﻧﮧ ﺑﺪﻟﮯ ﮔﺎ، ﮐﯿﺌﺮﭨﯿﮑﺮ ﺣﮑﻮﻣﺖ ﺑﮭﯽ ﻗﻮﻣﯽ ﺣﮑﻮﻣﺖ ﺑﻦ ﺳﮑﺘﯽ ﮨﮯ ﻣﮕﺮ ﻣﮏ ﻣﮑﺎ ﻭﺍﻟﯽ ﺣﮑﻮﻣﺖ ﻧﮩﯿﮟ ﭼﺎھتے ۔طاہر القادری,positive
۔ تحریک انصاف ضمنی انتخابات میں حصہ نہیں لے گی،ترجمان شیریں مزاری۔ جی ہان مگر قبضہ مافیا اور لوٹوں کی حمایت ضرور کرے گی,negative
تمام مسلمانوں کو نیا اسلامی سال مبارک ہو۔,positive
جو بُرائی کو نہیں پہچانتا ، وہ زیادہ قریب ھے کہ اُس میں واقع ھو جائے ۔ سیدنا عمر فاروقؓ,negative
جو ھو سکے تو تنہائیوں میں پڑھ لینا تمہارے لئے دل کی کتاب لایا ھوں ۲/۲ ,positive
 اصلی صرف طالبان / لشکر جھنگوی ہیں اصلی اور خالص ,positive
وینا ملک کا بیٹا سوشل میڈیا پر مقبولیت میں شلپا شیٹھی کے بیٹے سے آگے : کراچی۔۔۔۔۔۔۔۔۔ وینا ملک کے بیٹے ابرام خان۔۔۔ ,positive
جس کو اللہ کے نبی ﷺ نے شہادت کی خوشخبری دیدی۔ ,positive
اسلام آباد: چیرمین تحریک انصاف عمران خان کا کہنا ہے کہ محرم الحرام آنے کے باوجود ہم اسلام آباد سے نہیں جائیں گے ۔۔۔ ,positive
ڈیزل خان نے تمبو میں اکیلا رہنے کی پیشن گوئی کر دی ، ناکام ڈیزل خان ,positive
ﺍِﮎ ﻧﺌﯽ ﻃﺮﺯ ﮐﺎ ﮐﺮﺩﺍﺭ ﺩﯾﺎ ﺟﺎﺋﮯ ﮔﺎﺍﺱ ﮐﮩﺎﻧﯽ ﻣﯿﮟ ﻣﺠﮭﮯ ﻣﺎﺭ ﺩﯾﺎ ﺟﺎﺋﮯ ﮔﺎ !!,negative
 جس قسم گندے الفاظ فضلو نے دھرنے کی خواتین کے بارے میں استعمال کئے اس پر تمام سیاسی اور مزھبی جماعتوں کو انکا بائکاٹ کرنا چاہئے ,negative
ﻋﺎﻟﻤﯽ ﺍﺳﺘﻌﻤﺎﺭ ﺍﻣﺮﯾﮑﺎ ﻭ ﺍﺳﺮﺍﺋﯿﻞ ﺍﻭﺭﺍُﻧﮑﮯ ﻧﻤﮏ ﺧﻮﺍﺭ ﺳﻌﻮﺩﯼ ﻋﺮﺏ ﮐﮯ ﺳﯿﻨﮯﻣﯿﮟ ﺧﻨﺠﺮ ﮐﯽ ﻣﺎﻧﻨﺪ ﻣﺎﮦ ﻣﺤﺮﻡ، ﺻﻔﺮﺍﻭﺭ ﺭﺑﯿﻊ ﺍﻻﻭﻝ۔۔۔ ,negative
حق پرست رکن سندھ اسمبلی سمیتا افضال کی علالت پر جناب کا اظہار تشویش ,negative
ایم کیوایم ڈسٹرکٹ ملتان کے صدر ذیشان دلاور قریشی کی والدہ محترمہ کے انتقال پر رابطہ کمیٹی کااظہار تعزیت via ,negative
اتنا کام پڑا ہے اور میں کھیل رہی ہوں اردو کی بورڈ سے ,positive
 محسن طلوع ماہ محرم کے ساتھ ہیہر دل مثال شہر خموشاں اداس ہے ,negative
 جنوبی پنجاب کا سارا پیسہ صرف لاہور پہ لگتاہے تب کوئی پٹواری نئیں کہتا کہ واقعی انہیں حق دو گجرات یونیورسٹی کا دکھ ہے ,positive
ایم کیوایم کے قائد الطاف حسین کی تصنیف ’’فلسفہ محبت ‘‘ کے انگریزی ترجمہ کی تقریب اجراء 24اکتوبر جمعہ کی شام میریٹ ہوٹل میں منعقد ہوگی,positive
 کھیل اور نماز الگ الگ ھیں اپ زرا پڑھا کریں ۔مینڈک اچھے نھیں ھوتے !!,positive
دبئی، پہلا ٹیسٹ: آسٹریلیا کے خلاف پاکستان کی دوسری وکٹ گرگئی:,negative
سردار بنے سے پہلے علم حاصل کرو، کہیں ایسا نہ ہو کہ سرداری کا غرور تمہیں طلبِ علم سے روک دے اور تم جاہل بن کر زندگی گذارو ۔ سیدنا عُمر فاروقؓ,positive
 اور دس نارمل فیصل عابدییے رحلت فرماویں تو ایک جعفر پیدا ہوتا ہے ۔,negative
ایم کیوایم کا آزاد کشمیر حکومت سے علیحدگی کا اعلان اسکے ساتھ ہی حکومت سے اندر باہر ہونے کا عالمی ریکارڈ بھی بنا ڈالا۔ سیاسی لطیفے ,negative
 مشرقِ وسطیٰ میں امریکا اپنی ہی پالیسیوں کے نتائج بھگت رہا ہے ۔,negative
 اوہ معذرت، بے دھیانی، کئی مہینوں بعد فون سننا پڑ گیا دماغ ہی بند ہوگیا، عادت نہیں فون پر بات کرنے کی :پ,negative
برطانوی فوج نے افغانستان میں آخری اڈاہ بھی خالی کردیا ,positive
ڈات کے کهڑا هے آب عمر انٹهیک کرے گا سب کپتان نیاء بنے گا پاکستان نیاء بنے گا پاکستان انشاء آللہ ,positive
کون ديکھے گا اب صليبوں پر صورتيں وہ پيمبروں جيسی ميری دنيا کے بادشاہوں کی عادتيں ہيں گداگروں جيسی,positive
یہ اُڑی اُڑی سی رنگت یہ کُھلے کُھلے سے گیسو تیری صبح کہ رہی ہے تیری رات کا فسانہ!,positive
جو چیز ﷲ نہ دے بندوں سے نہیں مانگنا چاہیے ۔۔ ,positive
 تو میں کب کہہ رہا ہوں ایساوہ تو صحیح اور غلط کی لڑائی تھی ,positive
 مار دیا جائے ک چھوڑ دیا جائے بول تیرے ساتھ کیا سلوک کیا جائے ,negative
شہباز شریف نے جھنگ کے سیلاب زدگان کو چیک دئے تھے ۔ وہ کل باونس ہو گئے ۔,positive
 سر جی وہ بھی بنتی یے مگر یہ چاٹی کی لسی سے بنوائی ہے کھٹی کھٹی,positive
پہلا ٹیسٹ: آسٹریلیا کیخلاف پاکستان کی بیٹنگ جاری ,positive
 ہاں یہی احساس پیدا کرنا ہے ,positive
حضرت مولانا محمود اشرف عثمانی صاحب مدظلہ حاجیوں کیلئے چند ھدایات ,positive
انصافی ٹائگر - عمران خان کے معذور افراد کے ساتھ گزرے سب سے قیمتی۔۔۔ ,positive
غم کے لاکھوں دکانداروں سے اک تبسم فروش بہتر ہے ,positive
مشرف کے دوست شیرافگن نے کہا تھا کہ فضل الرحمن کواس شرط پر اپوزیشن لیڈر بنایا گیا تھا کہ وہ مشرف کی پالیسیوں کی حمایت کریں گے ڈیزل کی اصلیت,positive
 میں ابھی باہیک پر مری روڈ راولپنڈی سے آیا ھوں ۔ میٹرو کے کام کی وجہ سے مری روڈ پر بہت زیادہ گرد و غبار ھے ٹریفک کا جام رہنا معمول ھے ,negative
بلدیاتی انتخابات میں التوا کا ذمہ دار الیکشن کمیشن ہے :عمران خان ,negative
میرے پاس جن ہیں جو امریکا ،یورپی پارلیمنٹ کے بل لے آتے ہیں ،قادری: لاہور۔۔۔۔۔۔۔حکومت اور عوام ۔۔۔ ,positive
پشاور: حزب اختلاف کی جانب سے محمد علی شاہ کا نام سامنے آیا۔,positive
 ٹی وی سے فوٹو کیوں کھینچ رہیں ۔ گوگل کرکے تصویر لگا دیں :),positive
مبارک ہو۔ ہمیں آپ پہ فخر ہے ۔الله آپکو مزید کامیابیاں عطا فرمائے ۔آمین,positive
حُقے کی انگلش کیا ہے ، ساتھ یہ بھی بتائیے کہ گٹکے کو انگلش میں کیا کہتے ہیں ۔ ,negative
 خدانخواسته عمران خان تیرے گھر گھس گیا تو کیا هو گا اس کی تصویر بھی لگا دو,negative
 بھائ نہ جھک مارو نہ حق بس تمیز سے زندگی گزارو,positive
ھائے کیا چیز ھے محبت بھی ۔۔۔۔۔۔۔۔,positive
ایکس نیوز۰ محرم الحرام،ایکس نیوز کی جانب سے تمام مسلمانوں ,positive
 اردو ٹرینڈ زیادہ بہتر رہے گا کپتان ڈیزل,positive
بنوں میں مکانات کے کرائے بڑھ گئے ،متاثرین بکاخیل کیمپ جانے پر مجبور ,negative
ﻭﺍﮦ ﮐﯿﺎ ﺑﺎﺕ ﮨﮯ ,positive
شیخ جیسا بے شرم جسے میں اپنا چپڑاسی بھی نہ رکھو۔سچ ہی تو کہا ہے چپڑاسی نہیں رکھے گا پارٹنر بنائے گا۔ ,negative
حلقہ خواتین کے تحت ملک بھر میں اجتماع عام کے سلسلے میں بریفنگ اور ملاقاتوں کا سلسلہ جاری ,positive
 میں چاھتا بھی یھی تھا تو بے وفا نکلے ۔تجھے سمجھنے کا کوئی تو سلسلا نکلے !!,negative
عمران بھائی اپ کے لطیفوں پر تو اب لوگ کا فی زور کا ہنستے ہیں ۔ آپ اپنے شوز کا ٹکٹ لگا لیں پیسے مل جائیں گے اور مانگنے کی شرمندگی بھی نہ ہو گی,positive
وقت کا تقاضا ہے کہ وسائل کی منصفانہ تقسیم کے لیے انتظامی بنیادوں پر صوبے بنائے جائیں ۔ انھیں مالی وسیاسی اختیارات دئے جائیں ۔ وفاق مشترکہ وحدت بنے ۔,positive
لاہور: اگلے جلسے سے پہلے واپس آجائیں گے ۔ ,positive
جناب اسپیکر آج سے نون لیگ کو منافق لیگ کا نام دیا جائے کیونکہ نون لیگ نے سچ تو کبھی بولنا نہیں ,negative
مک جائے نام تیرا سیاست کے فسانے سے تیرا رونا ہی بنتا ہے زمانے میں - ,negative
بھنگ کا نشہ ہے کہ اترتا ہی نہیں ہے ۔۔۔۔۔۔۔۔۔ ,negative
ایسا آسان حدف۔ بچوں والا میچ ہو گیا یہ تو۔ ہا ہا ہا ہا ہا,positive
ﺍﺳﺘﯿﻌﻔﯽٰ ﻣﺎﻧﮕﻨﮯ ﻭﺍﻟﮯ ﭼﻨﺪﮦ ﻣﺎﻧﮕﻨﮯ ﭘﺮ ﺁﮔﺌﮯ۔۔۔,negative
مریم نواز کی بحیثیت چیئرپرسن یوتھ لون اسکیم تقرری پر وفاقی حکومت سے جواب طلب: ہائی کورٹ نے … ,negative
 لے دس میں سائیکو ہوتی تو اج خان کی طرح چندہ گن رہی ہوتی ,negative
انقلاب کی لغت میں مایوسی اور بے یقینی نہیں ہوتی۔ ڈاکٹر طاہر القادری انقلاب آنے کو ہے ,positive
رَبَّنَا وَتَقَبَّلْ دُعَاءاے میرے رب اور تو میری دُعا قبول فرما آمین یا رب العالمین,positive
متروک مسترد کاسہ لیسوں کی کسی بھی مارچ کی حمایت کرنا تاریخی جرم ہوگا متروک-مسترد-کاسہ-لیسوں -کی-کسی-بھی-مارچ-ک/,positive
پی آئی اے کو ایندھن کی ترسیل بحال رکھنا مشکل ہوگیا، پی ایس او: کراچی۔۔۔۔۔۔۔۔۔۔پی ایس او نے پا۔۔۔ ,negative
لاہور: بڑا ہسپتال نہیں سیالکوٹ اور ہارون آباد میں چھوٹے یونٹس بنا رہی ہوں ۔ میرا ,neutral
 عمران خاں زنا اور اپنے ناجائز بچوں کو پرائیویٹ معامله کھتا ھے کیا ایسے شخص کے پیچھے قوم کو چلنا چاھیے ,negative
لوٹ آنے کی امیدیں ٹوٹ پائی هی نهیں بند هو پائے نهیں هیں اب بهی در، کهنا اسے (ملک عدنان احمد),negative
غذائی قلت کا شکار مزید دو بچے سول اسپتال مٹھی میں دم توڑ گئے : تھر پارکر۔۔۔۔۔۔۔۔تھر پارکر میں غذائی قلت کا شکار م۔۔۔ ,negative
سٹی ٹریفک پولیس نے رواں ماہ کے دوران مجموعی طورپردوسوبارہ مقدمات درج کرائے ,negative
ﻣﺎﺩﺭ ﺟﻤﮩﻮﺭﯾﺖ ﺑﯿﮕﻢ ﻧﺼﺮﺕ ﺑﮭﭩﻮ ۔ﮧﺒﺣﺎﺍﯾﺮﺍﻥ ﮐﯽ ﺑﯿﭩﯽ ﻧﺼﺮﺕ ﺑﮭﭩﻮ ﭘﺎﮐﺴﺘﺎﻥ ﮐﯽ ۔۔۔ ۔ﯽﻨﺑ ﮞﺎﻣﺍﻧﮩﻮﮞ ﻧﮯ ﺳﻘﻮﻁ ﮈﻫﺎﮎ ﮐﮯ ﺑﻌﺪ ﺑﮑﻬﺮﮮ۔۔۔ ,positive
مولانا فضل الرحمن سے ملاقات کیلئے گورنر پنجاب، وفاقی وزراء، مشیروں اور مذہبی رہنماؤں کا تانتا بندھارہا ,positive
انشا جی اٹھو اب کوچ کرو اس شہر میں جی کا لگانا کیا ہاہاہا اور یہ کہ کر قادری صاحب شہر اقتدار پر بہت بڑا احسان کر گے ,positive
اردو لغت میے نیا لفظ ,positive
دبئی: چوتھے دن کا کھیل ختم، آسٹریلیا کے 59 رنز، 4 کھلاڑی آئوٹ ,positive
شامی صاحب تو ایڈیٹر اور تجزیہ نگار ہیں میں رپورٹر ہوں جو اینٹ اٹھاتا ہوں بڑے بڑے کرپشن سکینڈل نکلتے تو میں جذباتی کیوں نہ ہوں :رؤف کلاسرا,negative
قادری ﮐﺎ ﮐﻨﭩﯿﻨﺮ ﻇﮩﯿﺮ ﺍﻻﺍﺳﻼﻡ ﮐﻮ ﺍﻧﮑﯽ ﺭﯾﭩﺎﺋﺮﻣﻨﭧ ﮐﮯ ﭘﺮﻣﺴﺮﺕ ﻣﻮﻗﻊ ﭘﺮ ﺑﻄﻮﺭ ﺳﻮﯾﺌﻨﯿﺮ ﭘﯿﺶ ﮐﯿﺎ ﺟﺎﻧﺎ ﭼﺎﮬﯿﮯ,positive
"اسلام آباد: مولانا فضل الرحمان پر حملے کے خلاف کل ملک بھر میں یوم مذمت منایا جائے گا، علامہ محمد احمد لدھیانوی""",negative
حنیف محمد کے پوتے شہزر محمد نے پاکستان کرکٹ میں پی آئی اے کی طرف سے سنچری بنا کر ریکارڈ بک میں اپنا نام منفرد تعارف کے طو پر درج کرا دیا,positive
اس ملک کو بدنام کرنے میی لفافہ صحافت نے باقی کسر پوری کردی,negative
ایدھی سنٹر ڈکیتی: مرکزی ملزم سابقہ ملازم،2 گرفتار: کراچی ۔۔۔۔۔ شہر قائد میں ایدھی ٹرسٹ کے ہیڈ آفس میں ڈکیتی کرنے … ,negative
جس عہد میں لٹ جائے ایدھی کا چندہاس دور کا حاکم ہے کوئ گنجا ,negative
کراچی۔۔۔۔۔۔۔ سندھ ہائیکورٹ نے بحریہ ٹاؤن کلفٹن فلائی اوور کے خلاف حکم امتناع ختم کرتے ہوئے بحریہ ٹاؤن کو تعم۔۔۔ ,positive
تمام اہل اسلام کو نیا اسلامی سال مبارک ہو ۔الله پاک یہ سال ہمارے لیئے رحمتوں اور برکتوں کا باعث بنائے ہمارے حال۔۔۔ ,positive
بہت سے داغی آئے اور گئے لیکن کپتان اب بھی قوم کے ساتھ اسی جذبے سے کھڑاھے ,positive
ریالٹی تو یہ ہے ہمارے دونوں انقلابی گو نواز گو اور جلسوں کو اپنی کامیابی قرار دے رہے ہیں ۔یہ دونوں کام تو ان دھرنوں کے بغیر بھی ہو سکتے تھے ,positive
پاکستان کی ٹیم میں ،احمد شہزاد، محمد حفیظ، اظہر علی، یونس خان، مصباح الحق،اسد شفیق، سرفراز احمد، ذوالفقار بابر، عمران خان، یاسر شاہ، اور راحت علی شامل،,positive
بالآخر تیری مصروفیت کے پیش نظریہ تہہ ہوا کے اب تجھے یاد نہ کیا جائے ,positive
پھلا ٹیسٹ پاکستان اسڑیلیا کے خلاف ٹاس جیت کربیٹنگ کافیصله خضربلوچ,positive
 تو کٹڑ مسلمان بن جا بھائی,positive
خواجہ عمران نذیر نے مریضوں سے علاج معالجے کی سہولتوں سے متعلق دریافت کیا ,positive
وہ جو بیچتے تھے دوائے دل،،، وہ دکان اپنی بڑھا گئے ۔ شاہراہ دستور سے عوامی تحریک کے کارکنوں کی واپسی،، سی ڈی اے نے صفائی مہم شروع کردی,positive
لاہوریوں نے اجتماع عام کے لیے دل کے دروزے کھول دیے ۔ ڈونرز کانفرنس میں ڈیڑھ کروڑ سے زائد رقم جمع کروا دی,positive
 عیش کرو۔۔کم پڑجائے تو بکرے کا سر بھی ہے ,positive
 ابھی تو پارٹی شروع ہوئی ہے ,positive
 سائن آوٹ کرو اور کوئی اچھی سی کتاب پڑھو۔آپ زیادہ آوٹنگ نہیں کرتے شائد۔ ٹویٹر سے باھر بھی نکلا کرو ۔,positive
جس عہد میں لٹ جائے فقیروں کی کمائی ۔۔۔اس دور کے سلطاں سے کو ئی بھول ہو ئ ہے ۔۔۔ ,negative
عوامی تحریک کے رہنماء کی کارکنوں کو آبائی علاقوں میں جا کر بلدیاتی انتخابات کی تیاری کرنے کی ہدایت,positive
ایک کڑوڑ ستر لاکھ معذور افراد کو معاشرے نے بلکل دھتکارا ہوا ہے ۔۔۔۔۔بہت افسوس کی بات ہے ,negative
ہر کچھ عرصے بعد انقلاب کے نام پر یہ ناٹک اس خوف کے پیش نظر رچایا جاتا ہے کہ عوام کہیں حقیقی انقلاب کے لئے ہی کھڑے نہ ہو جائیں ۔,negative
حضرت عمرؓ کی شان زاہدانہ ,positive
 استعفیٰ کی بعد تو ہم پارلیمنٹ سے ہی باہر ہو جائیں گے قادری کی طرح ہمیں شرپسند عناصر کہا جائے گا,negative
اس کی خاطر ھم نے اس کو چھوڑ دیا,negative
فقیر وہ ہے جو اپنی غلطیوں پر اپنا احتساب کرے اور دوسروں کی اچھائیوں پر نظر ؟؟کھے نا کے دوسروں کو گالیاں دے اور خود کو فرشتہ سمجھے ,positive
عوامی تحریک کے سربراہ ڈاکٹر طاہر القادری کا واپس کینیڈا جانے کا فیصلہ ,positive
نواز شریف کی بھارت کے بعد اسرائیل کو خوش کرنے کی کوشش حکومت کی ناک کے عین نیچے اسرائیلی اسٹال ,positive
’’وہ‘‘چلاجائے ،’’ہم‘‘ آجائیں ،دھرنے والوں کیلئے یہی تبدیلی ہے ،حاصل بزنجو ,negative
 سوشل میڈیا پہ تو ہر کوئی کچھ بھی کہہ لیتا ھے اگر آپ احمدیوں کے لئے پرنٹ یا الیکٹرونک میڈیا پہ آواز اٹھائو تو بات اے ,positive
فقیری اچھی پروہ جوآپ کولوگوں سے بے نیاز کردے نا کے وہ فقیری جس میں آپ لوگوں کی نیاز کے ہوں محتاج اور ہاتھ پھیلاتے پھریں سب کے سامنے ,negative
هم اپنے حصے کا پاکستان ساتھ لائے ، پهلے پاکستان بنایا پهر یهاں آئے ، خواجه اظهار ایم کیو ایم ,positive
گوجرہ میں قتل اور ڈکیتی کے گرفتار ملزمان کی نشاندہی پر اسلحہ برآمدپولیس نے قتل اور ڈکیتی کے گرفتار ملزمان کی۔۔۔ ,negative
گو نواز گوگو قادری گوگو شہباز گوگو ذرداری گوگو بلاول گوگو ۔۔۔,negative
ایم کیو ایم کا ملک گیر یوم سیاہ۔۔۔۔,negative
 لگتا ھے مونس الٰہی کو قادری صاحب نے خصوصی دعا سے نواز دیا ھے ۔ ۔ :),positive
لاہور: چھاپہ مار ٹیم نے موقع سے مردار گوشت ھی برآمد کرلیا۔ عائشہ ممتاز ,negative
خدا کے لیے کوئی کینڈی کرش ساگا گیم کھیلنے کے لئے جو لوگ مجھ کو انوائیٹ کرتے ہیں ان سے جان چھڑوائے خدا لئے ۔۔۔ ,positive
ساحر لدھانیوی ، عصمت چغتائی ، راجندر سنگھ بیدی ، علی سردار جعفری اور دیگر ترقی پسند ادیب ساحل سمندر پر اکٹھے ہیں ۔۔۔ ,positive
کیاعمران خان صرف ٹوئٹر اور فیس بک پہ وزیر اعظم بن سکتا ہے ؟,negative
بھائی کیا کہیں چاہ ہی ختم ہو گئی ہے ۔,negative
لاہور: میٹروبس پر ۳۰ ارب خرچ ہوئے ۔,positive
میں تحریک انصاف اور عوامی تحریک کے کارکنوں سے کہتا ہوں کہ اگر ہم سے کوئی سے کوئی بھی پیچھے ہٹے اسے چھوڑدینا، اگر ۔۔۔ ,negative
عوامی ٹیکسوں سے حاصل ہونے والا پیسہ سیاسی مقاصد کے لئے استعمال نہیں کیا جاسکتا : لاہور ہائیکورٹ,positive
جب تک ذندہ ہوں یہیں بیٹھوں :پاکستان خان وطن کی مٹی مجھے ایڑیاں رگڑنے دے مجھے یقین ہے کہ چشمہ یہیں سے نکلے گا ,positive
ﺍﮮ ﺁﺭ ﻭﺍﺋﯽ ﺩﯾﮑﮫ ﮐﺮ ﻣﯿﺮﮮ ﭘﺎﭘﺎ ﮐﻮ ﻣﺮﮔﯽ ﮐﮯﺩﻭﺭﮮ ﭘﮍﺗﮯ ﺗﮭﮯ ﻣﺒﺸﺮﻟﻘﻤﺎﻥ ﮐﻮ ﺩﯾﮑﮫ ﮐﺮ-- ﺣﻤﺰﮦﮐﻮ ﻟﻘﻮﮦ ﮨﻮ ﺟﺎﺗﺎ ﮨﮯ-- ﻣﺮﯾﻢﮔﻠﻮ ﺑﭩﻨﯽ,negative
تمہارے پاؤں میں رکھ دی ہے شاعری اپنیکسی کو کون یوں اپنی کمائی دیتا ہے ,positive
